food_id,food,caloric_value,fat,saturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,calcium,iron,nutrition_density,price,CO2_emissions_kg_per_kg,refined_category
503,yellow corn raw,606,7.9,1.1,123.3,1.1,15.6,12.1,0,0.06,11.6,4.5,175,50,10.8,Processed Foods
504,endive,9,0.1,0.022,1.7,0.1,0.6,1.6,0,0.08,26,0.4,33.7,68,9.5,Processed Foods
505,wakame,36,0.5,0.1,7.3,0.5,2.4,0.4,0,0.7,120,1.7,134.7,40,3.8,Processed Foods
506,tahitian taro raw,55,1.2,0.2,8.6,0,3.5,0,0,0.003,161.3,1.6,296.2,43,1.1,Processed Foods
507,broccoli raw,31,0.3,0.053,6,1.5,2.6,2.4,0,0.049,0.092,0.016,11.548,18,0.51,Vegetables
508,sweet green peppers raw,30,0.3,0.053,6.9,3.6,1.3,2.5,0,0.023,14.9,0.5,146.2,96,18.8,Herbs & Spices
509,chinese cabbage pak choi cooked,20,0.3,0.014,3,1.4,2.7,1.7,0,0.5,158.1,1.8,211.8,51,0.51,Processed Foods
510,agar,1,0.058,0.087,0.3,0.005,0.053,0.027,0,0.049,0.075,0.002,0.587,83,9.5,Processed Foods
511,watercress,4,0.006,0.071,0.4,0.099,0.8,0.2,0,0.038,0.069,0.063,1.59,31,18.4,Processed Foods
512,beet greens cooked,39,0.3,0.025,7.9,0.9,3.7,4.2,0,0.3,164.2,2.7,218.9,93,0.43,Processed Foods
513,winter squash cooked,76,0.7,0.1,18.1,6.8,1.8,5.7,0,0.068,45.1,0.9,76,45,4.9,Processed Foods
514,new zealand spinach raw,8,0.1,0.077,1.4,0.2,0.8,0.8,0,0.017,32.5,0.4,52.8,7,0.5,Vegetables
515,okra,4,0.082,0.001,0.9,0.2,0.2,0.4,0,0.098,9.8,0.082,14.081,70,0.6,Processed Foods
516,yautia tannier,132,0.5,0.1,31.9,0,2,2,0,0.031,12.2,1.3,56.9,47,13.5,Processed Foods
517,mustard spinach cooked,29,0.4,0,5,0,3.1,3.6,0,0.5,284.4,1.4,414.9,46,0.5,Vegetables
518,rhubarb cooked,278,0.1,0.08,74.9,68.9,0.9,4.8,0,0.007,0.081,0.024,80.893,5,15.5,Processed Foods
519,beets raw,58,0.2,0.028,13,9.2,2.2,3.8,0,0.1,0.079,0.1,19.395,66,0.43,Processed Foods
520,drumstick pods raw,37,0.2,0.025,8.5,0,2.1,3.2,0,0.077,30,0.4,185.4,9,18.1,Processed Foods
521,baby zucchini,2,0.089,0.02,0.3,0,0.3,0.1,0,0.041,2.3,0.098,6.89,44,15.7,Processed Foods
522,onion raw,16,0.048,0.077,3.7,1.7,0.4,0.7,0,0.065,0.08,0.011,4.955,57,0.5,Vegetables
523,romanesco cooked,39,0.4,0.028,7.7,0,3.7,4,0,0.3,39,0.9,144.3,46,12.4,Processed Foods
